transaction_number,T_date,transaction_type,Punk_Nr,T_from,T_to,amount
162,2021-06-11,2,234,42,8,42078
163,2021-06-01,8,234,8,8,59593
164,2021-05-20,3,234,42,8,51674
165,2021-05-20,8,234,8,8,66852
166,2021-05-14,2,234,50,8,66421
167,2021-05-13,3,234,50,8,61802
168,2021-05-13,8,234,8,8,80845
169,2021-05-13,3,234,51,8,59276
170,2021-05-12,3,234,50,8,56807
171,2021-05-10,8,234,8,8,94109
172,2021-05-06,8,234,8,8,103523
173,2021-05-05,8,234,8,8,117078
174,2021-03-06,1,234,4,47,0
175,2021-03-05,1,234,5,4,0
176,2021-02-04,1,234,6,5,0
177,2017-06-23,4,234,8,6,0
178,2023-07-22,1,235,52,53,0
179,2023-07-22,1,235,18,52,0
180,2023-07-12,8,235,8,8,110571
181,2023-07-04,9,235,54,18,84384
182,2023-07-04,8,235,8,8,84384
183,2023-06-12,1,235,55,54,0
184,2023-06-09,1,235,54,55,0
185,2023-05-08,9,235,18,54,103784
186,2023-05-05,8,235,8,8,109565
187,2023-05-01,9,235,56,18,101138
188,2023-05-01,8,235,8,8,101772
189,2023-05-01,7,235,8,8,0
190,2023-04-24,8,235,8,8,111023
191,2023-02-05,9,235,57,56,121505
192,2023-02-03,8,235,8,8,121468
193,2023-02-02,9,235,58,57,122715
194,2023-02-02,8,235,8,57,122715
195,2023-01-03,9,235,52,58,88940
196,2023-01-03,8,235,8,58,88940
197,2022-12-31,2,235,59,8,81541
198,2022-12-31,3,235,59,8,81541
199,2022-12-31,3,235,60,8,81541
200,2022-12-29,2,235,59,8,80422
201,2022-12-29,3,235,59,8,80422
202,2022-12-29,3,235,61,8,80422
203,2022-12-28,3,235,60,8,80771
204,2022-12-27,3,235,61,8,78394
205,2022-12-06,8,235,8,8,92369
206,2022-11-14,2,235,62,8,73883
207,2022-11-14,3,235,62,8,75651
208,2022-11-10,8,235,8,8,97884
209,2022-11-09,1,235,18,52,0
210,2022-11-09,9,235,63,18,78884
211,2022-11-09,3,235,18,8,78884
212,2022-11-09,3,235,18,8,78884
213,2022-11-09,8,235,8,8,85279
214,2021-08-23,7,235,8,8,0
215,2021-03-11,8,235,8,8,180583
216,2021-03-06,1,235,4,63,0
217,2021-03-05,1,235,5,4,0
218,2021-02-04,1,235,6,5,0
219,2017-06-23,4,235,8,6,0
220,2021-03-05,1,236,5,4,0
221,2021-02-04,1,236,6,5,0
222,2017-06-23,4,236,8,6,0
223,2021-07-26,7,237,8,8,0
224,2021-05-27,8,237,8,8,89018
225,2021-03-05,1,237,5,4,0
226,2021-02-04,1,237,6,5,0
227,2017-06-23,4,237,8,6,0
228,2021-03-05,1,238,5,4,0
229,2021-02-04,1,238,6,5,0
230,2017-06-23,4,238,8,6,0
231,2024-02-16,3,239,64,8,31
232,2021-08-28,6,239,65,13,0
233,2021-08-28,1,239,66,65,0
234,2021-08-27,1,239,67,66,0
235,2021-08-07,1,239,66,67,0
236,2021-07-30,9,239,68,66,57982
237,2021-07-30,8,239,8,8,57437
238,2021-07-29,8,239,8,8,56238
239,2021-07-29,8,239,8,8,53448
240,2021-07-29,1,239,69,68,0
241,2021-07-29,9,239,70,69,50607
242,2021-07-29,8,239,8,8,50908
243,2021-07-27,8,239,8,8,48927
244,2021-05-05,2,239,71,8,76163
245,2021-05-05,3,239,71,8,75557
246,2021-05-04,8,239,8,8,80239
247,2021-05-03,5,239,13,70,0
248,2021-05-03,6,239,72,13,0
249,2021-05-03,1,239,73,72,0
250,2021-05-03,5,239,13,73,0
251,2021-04-27,9,239,74,75,53035
252,2021-04-25,9,239,76,74,43095
253,2021-03-08,2,239,77,8,29155
254,2021-03-08,6,239,78,13,0
255,2021-03-08,1,239,79,78,0
256,2021-03-08,7,239,8,8,0
257,2021-03-08,8,239,8,8,31720
258,2021-03-08,3,239,77,8,28232
259,2021-03-08,3,239,80,8,17130
260,2021-03-08,8,239,8,8,31496
261,2021-03-08,8,239,8,8,33450
262,2021-03-07,8,239,8,8,35643
263,2021-03-07,1,239,4,79,0
264,2021-03-05,1,239,5,4,0
265,2021-02-04,1,239,6,5,0
266,2017-06-23,4,239,8,6,0
267,2021-10-12,1,240,81,82,0
268,2021-08-06,7,240,8,8,0
269,2021-07-29,8,240,8,8,229941
270,2021-07-28,9,240,83,81,101034
271,2021-07-28,2,240,81,8,91849
272,2021-07-27,3,240,81,8,90314
273,2021-07-19,3,240,84,8,62142
274,2021-07-18,3,240,85,8,57149
275,2021-07-15,8,240,8,8,84636
276,2021-07-13,9,240,86,83,79200
277,2021-07-13,8,240,8,8,79319
278,2021-07-12,8,240,8,8,140763
279,2021-07-12,2,240,87,8,80005
280,2021-07-11,3,240,87,8,79211
281,2021-07-11,3,240,88,8,74930
282,2021-07-11,8,240,8,8,83586
283,2021-07-09,8,240,8,8,91397
284,2021-07-09,7,240,8,8,0
285,2021-07-09,2,240,89,8,75767
286,2021-07-09,8,240,8,8,96800
287,2021-07-09,1,240,90,86,0
288,2021-07-08,1,240,91,90,0
289,2021-07-08,7,240,8,8,0
290,2021-07-08,3,240,89,8,75187
291,2021-07-08,8,240,8,8,96411
292,2021-07-08,8,240,8,8,104593
293,2021-07-07,8,240,8,8,113392
294,2021-07-07,8,240,8,8,116327
295,2021-07-07,8,240,8,8,126791
296,2021-07-06,8,240,8,8,123454
297,2021-07-05,8,240,8,8,130172
298,2021-07-04,8,240,8,8,141591
299,2021-07-04,8,240,8,8,150919
300,2021-07-03,8,240,8,8,146802
301,2021-07-02,8,240,8,8,143981
302,2021-07-02,8,240,8,8,144208
303,2021-07-01,7,240,8,8,0
304,2021-07-01,8,240,8,8,121677
305,2021-07-01,3,240,84,8,67618
306,2021-06-30,8,240,8,8,117483
307,2021-06-30,8,240,8,8,120905
308,2021-06-30,8,240,8,8,124219
309,2021-06-29,8,240,8,8,125123
310,2021-06-23,2,240,85,8,57968
311,2021-06-22,7,240,8,8,0
312,2021-06-21,3,240,85,8,55448
313,2021-06-18,8,240,8,8,132122
314,2021-06-02,8,240,8,8,148297
315,2021-05-26,8,240,8,8,137354
316,2021-05-26,8,240,8,8,148251
317,2021-05-25,8,240,8,8,149847
318,2021-05-16,7,240,8,8,0
319,2021-05-15,8,240,8,8,178900
320,2021-05-13,3,240,84,8,109047
321,2021-05-09,8,240,8,8,183775
322,2021-05-09,8,240,8,8,189523
323,2021-05-08,8,240,8,8,196149
324,2021-05-08,8,240,8,8,211019
325,2021-05-08,8,240,8,8,230210
326,2021-05-08,8,240,8,8,176374
327,2021-05-08,8,240,8,8,189680
328,2021-05-08,8,240,8,8,207598
329,2021-05-05,8,240,8,8,223193
330,2021-05-05,8,240,8,8,180334
331,2021-05-05,8,240,8,8,180825
332,2021-05-05,8,240,8,8,183404
333,2021-05-04,8,240,8,8,192639
334,2021-05-04,8,240,8,8,199003
335,2021-05-03,8,240,8,8,197344
336,2021-05-03,8,240,8,8,205631
337,2021-05-03,8,240,8,8,283417
338,2021-05-02,8,240,8,8,177887
339,2021-05-02,8,240,8,8,187227
340,2021-05-01,8,240,8,8,202584
341,2021-04-29,8,240,8,8,216592
342,2021-04-29,8,240,8,8,163675
343,2021-04-28,8,240,8,8,169384
